nombre,calle,municipio,provincia,codigo_postal
AMAQ,"Pol.ind. Los Llanos Avda.europa,30 (Amaq Alquileres)",Zamora,,49027
AMARO CEREZO,"C/ Daniel Del Olmo González, 11",Valladolid,Valladolid,47008
AMCO Machinery & Consulting,Avda. Del Jardin Botanico 408,Gijon,,33203
AMCO MACHINERY & CONSULTING,"Av. Jardin Botanico, 408",Gijon (asturias),,33203
AMENCARS,"Avda. De La Industria, 10",Alcobendas,Madrid,28108
AMERICAN MADE CARS,Calle De La Fragua 6,Rivas-vaciamadrid,Madrid,28251
AMG AUTOBENALUP,"Albañiles, 45",Benalup-casas viejas,Cádiz,11190
Ammar Machinery Concept S.L.U,Avenida Castelló 5,Benidorm,,03503
AMOTOR,"C/Mosquerola,37",Vilablareix,Girona,17180
Ana Maria Pastor Hernandez,Domicilio Fiscal,Torrevieja,,03181
ANDALGROUP COCHES SIN CARNET,Calle Metalurgia 73 Poligono Industrial Calonge,Sevilla,Sevilla,41007
ANDIKO AUTOAK,"Poligono Okamika Modulo 1 , 2 B,",Vizcaya,Vizcaya,48289
ANDRADA CARS,Avenida.rio De Janeiro 42 Pta.-1,Barcelona,Barcelona,08016
ANDRADA OCASION,Altar Nº 2,Jávea,Alicante,03730
Andrema Motor,"Diseminado Rio, 190,",Lorca,Murcia,30800
ANDRÉS GONZÁLEZ SANZ EXCAVACIONES S. L.,Plaza Mayor Nº 5,Cerceda,,28412
ANDRONEBULA SL,Tarragona,Tarragona,Tarragona,43700
ANGALTRUCK,"Calle Malta (Pol. Ind.santa Teresa), 17",Malaga,Málaga,29004
Angel Vehículos Seminuevos,-,Alcazar de san juan,Ciudad real,13600
Anicovem S.L.,"P.i. Piedra Hincada Calle 1, Nave 9",Alcala de guadaira,,41500
ANLOBER,,,Barcelona,
ANNA FONT FABREGÓ,"Can Baldiri, S/N, Carretera De La Gleva, Km21",Manlleu,,08560
Anper Ocasion,"Calle De Ruperto Chapi, 13",Madrid,Madrid,28100
Anrour,"C/ Dos Hermanas 12 5 2,",Leon,León,24005
ANTONAUTO,Calle La Granja 76,Alcobendas,Madrid,28100
ANTONIO BRAVO,"Ctra. Madrid-Lisboa, Km. 397 Apdo. Correos 329",Badajoz,Badajoz,06008
"ANTONIO DOMINGUEZ, S.L.",,,Cádiz,
