modelo_titulo,provincia,kilometraje,combustible,distintivo_ambiental,garantia,cambio_automatico,carroceria,plazas,potencia,puertas,color,precio,vendedor_profesional,consumo_medio,certificado,fecha_extraccion,referencia,marca_sola,mes_matricula,anio_matricula,nombre_vendedor_profesional,peninsula_y_baleares,comunidad
Ibiza 1.0 TSI S&S Reference 95,Málaga,44000,Gasolina,C,12.0,False,Berlina,5.0,95.0,5,BLANCO,15300,True,4.5,True,2025-02-18 12:04:11.787456,15220956,SEAT,11,2020,MARTINSA MOTOR,True,Andalucía
Polo 1.0 TSI Life DSG 70kW,Madrid,11805,Gasolina,C,12.0,True,Berlina,5.0,95.0,5,GRIS,22550,True,,False,2025-02-18 12:04:19.625848,15020190,VOLKSWAGEN,2,2024,F. Tomé,True,Comunidad de Madrid
208 1.2 Puretech S&S Active Pack 100,Madrid,37594,Gasolina,C,12.0,False,Berlina,5.0,100.0,5,ROJO,14900,True,4.2,False,2025-02-18 12:04:57.241879,15010693,PEUGEOT,4,2023,Modrive Madrid,True,Comunidad de Madrid
Focus 1.0 Ecoboost MHEV ST-Line X 125,Madrid,48464,Gasolina,ECO,12.0,False,Berlina,5.0,125.0,5,ROJO,20900,True,,False,2025-02-18 12:05:03.242539,15076707,FORD,1,2023,Modrive Madrid,True,Comunidad de Madrid
Golf 2.0 TSI GTI Performance DSG 230,Barcelona,168000,Gasolina,C,12.0,True,Berlina,5.0,230.0,3,BLANCO,18500,True,6.4,False,2025-02-18 12:05:09.169835,14254004,VOLKSWAGEN,7,2015,Planxisteria Europa,True,Cataluña
Clase V EQV 300 Larga e100,,8540,Eléctrico,0 EMISIONES,18.0,True,Pequeño,,204.0,5,GRIS,49900,True,,True,2025-02-18 12:05:16.733564,13800403,MERCEDES-BENZ,4,2022,MERCEDES CANARIAS LAS PALMAS,True,
EQB 250,,14720,Eléctrico,0 EMISIONES,36.0,True,Todo Terreno,5.0,190.0,5,GRIS,39990,True,,True,2025-02-18 12:05:24.177183,14777875,MERCEDES-BENZ,7,2023,MERCEDES CANARIAS LAS PALMAS,True,
Qashqai 1.5dCi N-Connecta 4x2,Barcelona,132000,Diésel,C,12.0,False,Todo Terreno,5.0,110.0,5,NEGRO,15000,True,3.8,False,2025-02-18 12:05:31.049507,13205190,NISSAN,8,2018,Planxisteria Europa,True,Cataluña
2008 1.5BlueHDi S&S Allure 100,Barcelona,58900,Diésel,C,12.0,False,Todo Terreno,5.0,100.0,5,NEGRO,13800,True,3.8,False,2025-02-18 12:05:37.784974,13971883,PEUGEOT,11,2019,Planxisteria Europa,True,Cataluña
Clase A 180 d,Zaragoza,91500,Diésel,,24.0,True,Berlina,5.0,116.0,5,OTROS,28900,True,,True,2025-02-18 12:05:44.122299,14168946,MERCEDES-BENZ,7,2021,MERCEDES AGREDA AUTOMOVIL S.A.,True,Aragón
Clase GLB 200 d,Zaragoza,26582,Diésel,,36.0,True,"4x4, SUV o pickup",5.0,150.0,5,NEGRO,43900,True,,True,2025-02-18 12:05:49.250219,15197343,MERCEDES-BENZ,7,2023,MERCEDES AGREDA AUTOMOVIL S.A.,True,Aragón
208 PureTech 73kW (100CV) Allure,Barcelona,78714,Gasolina,C,12.0,False,Berlina,,100.0,5,GRIS,13250,True,,True,2025-02-18 12:05:54.867308,15095729,PEUGEOT,10,2020,STELLANTIS & YOU BARCELONA - SANT FELIÚ,True,Cataluña
C3 Aircross Puretech S&S C-Series 110,Barcelona,29481,Gasolina,C,36.0,False,Todo Terreno,5.0,110.0,5,GRIS,16970,True,,True,2025-02-18 12:06:02.056749,15374711,CITROEN,7,2023,STELLANTIS & YOU BARCELONA - SANT FELIÚ,True,Cataluña
Mini Cooper Aut.,La Coruña,57815,Gasolina,C,24.0,True,Berlina,5.0,136.0,5,GRIS,27900,True,5.0,False,2025-02-18 12:06:07.659952,15115098,MINI,12,2020,NOVOMOVIL,True,Galicia
X3 xDrive 20dA,La Coruña,87272,Diésel,C,24.0,True,Todo Terreno,5.0,190.0,5,OTROS,37700,True,5.1,False,2025-02-18 12:06:14.189656,13832758,BMW,5,2020,NOVOMOVIL,True,Galicia
Juke 1.6 Acenta 4x2 112,,90336,Gasolina,C,12.0,False,Todo Terreno,5.0,112.0,5,BLANCO,13790,True,6.9,False,2025-02-18 12:06:20.489508,15401172,NISSAN,2,2019,SHOPING CAR,True,
Mini Cooper Aut.,La Coruña,72224,Gasolina,C,24.0,True,Berlina,5.0,136.0,5,NEGRO,27900,True,,False,2025-02-18 12:06:28.137227,15143626,MINI,3,2021,NOVOMOVIL,True,Galicia
Countryman C Essential,La Coruña,11378,Gasolina,ECO,24.0,True,Todo Terreno,5.0,170.0,5,NEGRO,39800,True,,False,2025-02-18 12:06:35.594351,15195489,MINI,2,2024,NOVOMOVIL,True,Galicia
Clase C 200 d Berlina,Toledo,8900,Diésel,,36.0,True,Berlina,5.0,163.0,4,GRIS,48900,True,,True,2025-02-18 12:07:05.703937,14592739,MERCEDES-BENZ,6,2024,AUTOKRATOR,True,Castilla-La Mancha
