nombre,calle,municipio,provincia,codigo_postal
"ALEZEN, S.L.","Ctra. Avila - Salamanca, Km. 3.5",Narrillos de san leonardo,Salamanca,5160.0
ALF MOTOR,"Carretera Nacional 301 Km 430,5 Miranda",Cartagena,Murcia,30319.0
ALFAGEME AUTOMOVILES S.L,"Vazquez De Menchaca, 8",Valladolid,Valladolid,47008.0
Alfredo Rueda,Madrid,Madrid,Madrid,28015.0
ALGAMAUTO,"C. Tajo, 5",Mejorada del campo,Madrid,28840.0
"ALHAMBRA AUTOMOVILES, S.A.","Calle Bronce,14",Madrid,Madrid,28045.0
Alixares Motor,Joan Miro S/N Bajo,Zubia,Granada,18140.0
Aljune,Concertar Cita Previa,Las torres de cotillas,Murcia,30565.0
ALKIMAKI,Madrid 35,Fuente el saz del jarama,,28140.0
ALKIZABAL SL,"Barrio Bolunburu, 19",Lemoa,,48330.0
ALL ELECTRIK,"C/ La Venta 2, Pol.ind Neinor Edificio 10, Nave 1",Meco,Madrid,28880.0
ALLTRUCKSES,,,Lleida,0.0
ALMACAR MOTOR,Ctra De Ayora Km 1,Almansa,Albacete,2640.0
Almirante Motor,Concertar Cita Previa,Baza,Granada,18800.0
ALMOTOR 26,"C/ Hnos. Garcia Noblejas, 26",Madrid,Madrid,28037.0
ALO WAGEN,"C/ Blasco Ibáñez, 23, Bajo.",Vila-real,Castellón,12540.0
ALONSO AUTOMOCION,Crta. Vieja Santiago 337,Lugo,Lugo,27294.0
ALONSO HERMANOS AUTOMOVILES,C/ Bristol Nº 5,Madrid,Madrid,28028.0
ALONSO PINEDA,"Autovia A-42, Km.63,4",Olías del rey,Toledo,45280.0
Alpik Automobile,"Calle Del Sol 20,",Arganda del rey,Madrid,28500.0
ALPIMAC MAQUINARIA S.L.,Parroquia De Cortiñan Parcela E3 Nave 1 Pol Industrial Bergondo,A coruña,,15165.0
ALQUICOCHE,Avd Del Cid 30,Valencia,Valencia,46018.0
ALQUIFRE,,,Cádiz,0.0
ALQUIGAL,Avda. Arsenio Iglesias S/N,Arteixo,,0.0
ALQUIGEMASUR,Ctra Ecija A Jerez Km 7.2,Utrera sevilla,,41710.0
"ALQUILER DE MAQUINARIA RENTAIRE, S.A.",,,Madrid,0.0
Alquiler de Maquinaria Vega Baja,Av.cdad.europea 10,Almoradi,,3160.0
Alquiler de Maquinarias,Lugo,Lugo,Lugo,26001.0
Alquileres Garbayo S.L.,"Pol. Ind. Municipal Vial Transversal 1, 52",Tudela,Navarra,31500.0
"ALQUIMECANICA, S.L.",,,Madrid,0.0
Alquiven de maquinaria 2000 sl,Poligono Ciudad Del Transporte,Castellon,,12006.0
"ALQUIVEN MAQUINARIA 2000, S.L",,,Castellón,0.0
ALR,Francesc Sancliment 83,Vic,Barcelona,8500.0
"ALR LUXURY TIME, SL",Concertar Cita,Matadepera,Barcelona,8230.0
ALSAGIL,,,Castellón,0.0
ALSAM VENTA MAQUINARIA S.L.,"Calle Verneda (Pol. Industrial Can Roca), S/N",Martorelles,,8107.0
Alsecan Auto,Cartes,Cartes,Cantabria,39311.0
"ALTRASAN, S.L.",,,Pontevedra,0.0
"ALTUNA PEÑIN REMARKETING, S. L",C/ De La Pelaya Nº4,Algete,,28110.0
Alv Alba Irauto,Benavente,Benavente,Zamora,49600.0
ÁLVARO Álfaro,Avinguda Del Cementiri,Figueres,Girona,17600.0
ALVARO NAVARRO,-,Elche,Alicante,3139.0
ALVARO PÉREZ,"Calle Las Moreras, 25,",Revillarruz,Burgos,9620.0
ALVE FORKLIFT,Calle El Puntal,El puntual,Sevilla,41580.0
Alvegirona 2000 SL,"Carretera Nacional 2 Km 711,",Fornells de la selva,Girona,17458.0
ALYHU MOTOR,Catr. Valladolid 171-175,Salamanca,Salamanca,37184.0
ALZ-MOTORS,Pol Ind Talluntxe Calle D57,Noain,Navarra,31110.0
AM AUTOMOVILES MONTERO,Pº De La Cuba 17-B,Albacete,Albacete,2005.0
AM AUTOS,Av/ De Las Habaneras Nº21,Torrevieja,Alicante,3182.0
AM CARS,Polígono San Luis,Málaga,Málaga,29006.0
Amadeo Garcia,Baza,Baza,,18800.0
AMAQ,"Pol.ind. Los Llanos Avda.europa,30 (Amaq Alquileres)",Zamora,,49027.0
AMARO CEREZO,"C/ Daniel Del Olmo González, 11",Valladolid,Valladolid,47008.0
AMCO Machinery & Consulting,Avda. Del Jardin Botanico 408,Gijon,,33203.0
AMCO MACHINERY & CONSULTING,"Av. Jardin Botanico, 408",Gijon (asturias),,33203.0
AMENCARS,"Avda. De La Industria, 10",Alcobendas,Madrid,28108.0
AMERICAN MADE CARS,Calle De La Fragua 6,Rivas-vaciamadrid,Madrid,28251.0
AMG AUTOBENALUP,"Albañiles, 45",Benalup-casas viejas,Cádiz,11190.0
